State,Priority,Assigned Group,Severity,P1 Incident,Urgency,Made SLA,Reassignment count
Closed,4,1,3,0,4,1,1
Closed,3,1,3,0,3,1,2
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,4
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,2
Closed,3,2,3,0,3,1,1
Closed,3,3,3,0,3,1,2
Closed,3,3,3,0,3,1,1
Closed,3,2,3,0,3,1,2
Closed,3,2,3,0,3,1,2
Closed,3,2,3,0,3,1,8
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,1
Resolved,3,2,3,0,3,1,1
Closed,3,3,3,0,3,1,1
Closed,4,3,3,0,4,1,3
Closed,3,2,3,0,3,1,3
Closed,3,2,3,0,3,1,2
Closed,3,3,3,0,3,1,1
Closed,3,3,3,0,3,1,1
Closed,3,1,3,0,3,1,1
Closed,3,1,3,0,3,1,2
Closed,3,1,3,0,3,1,1
Closed,3,1,3,0,3,1,1
Closed,2,2,3,0,2,1,2
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,2
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,1
Closed,4,3,3,0,4,1,1
Closed,1,3,3,1,1,1,2
Closed,3,2,3,0,3,1,3
Closed,3,2,3,0,3,1,1
Closed,3,3,3,0,3,1,1
Closed,3,3,3,0,3,1,1
Closed,3,1,3,0,3,0,1
Closed,3,1,3,0,3,1,4
Closed,3,1,3,0,3,1,1
Closed,3,2,3,0,3,1,4
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,2
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,1
Resolved,3,2,3,0,3,1,1
Closed,3,3,3,0,3,1,3
Closed,3,1,3,0,3,0,1
Closed,3,2,3,0,3,1,3
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,4
Closed,3,2,3,0,3,1,4
Closed,3,2,3,0,3,1,3
Closed,3,2,3,0,3,1,1
Closed,3,3,3,0,3,1,2
Closed,3,3,3,0,3,1,1
Closed,3,2,3,0,3,1,4
Closed,3,3,3,0,3,1,2
Closed,3,1,3,0,3,0,1
Closed,3,1,3,0,3,1,1
Closed,3,1,3,0,3,1,3
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,4
Closed,3,2,3,0,3,1,3
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,3
Closed,3,2,3,0,3,1,4
Closed,3,3,3,0,3,1,2
Closed,3,3,3,0,3,1,2
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,10
Closed,3,2,3,0,3,1,7
Closed,3,2,3,0,3,1,4
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,7
Closed,4,3,3,0,4,1,2
Closed,3,3,3,0,3,0,9
Closed,3,1,3,0,3,1,3
Closed,3,2,3,0,3,1,1
Closed,3,3,3,0,3,1,1
Active,3,3,3,0,3,1,2
Closed,3,3,3,0,3,0,3
Closed,3,1,3,0,3,1,3
Closed,4,1,3,0,4,1,12
Closed,3,1,3,0,3,1,3
Closed,3,1,3,0,3,1,2
Closed,3,2,3,0,3,1,3
Closed,3,2,3,0,3,1,6
Closed,3,2,3,0,3,1,1
Closed,3,2,3,0,3,1,1
